Team,Wins,Losses,Home_Wins,Home_Losses,Away_Wins,Away_Losses,ATS_WINS,ATS_Losses,ATS_Ties,ATS_Home_Wins,ATS_Home_Losses,ATS_Home_Ties,ATS_Away_Wins,ATS_Away_Losses,ATS_Away_Ties,OU_Wins,OU_Losses,OU_Ties,OU_Home_Wins,OU_Home_Losses,OU_Home_Ties,OU_Away_Wins,OU_Away_Losses,OU_Away_Ties
Fordham,11,12,8,4,2,6,10,11,0,5,7,0,5,4,0,14,7,0,8,4,0,6,3,0
Southern Indiana,9,15,7,6,2,9,10,11,1,4,7,0,6,4,1,11,11,0,6,5,0,5,6,0
Utah Tech,6,17,5,4,0,12,10,11,0,6,2,0,4,9,0,9,12,0,3,5,0,6,7,0
Belmont,17,8,9,4,7,3,10,12,2,4,8,2,6,4,0,17,7,0,11,3,0,6,4,0
Tenn Tech,13,12,7,3,5,8,10,12,1,3,6,1,7,6,0,11,12,0,4,6,0,7,6,0
Kansas,16,7,11,2,3,5,10,12,1,6,7,1,4,5,0,6,17,0,4,10,0,2,7,0
Texas St,12,13,7,3,3,9,10,12,1,5,5,0,5,7,1,14,8,1,6,4,0,8,4,1
UT-Arlington,11,13,7,2,3,9,10,12,0,3,6,0,7,6,0,10,12,0,3,6,0,7,6,0
Southern Utah,10,14,7,5,2,9,10,12,0,4,7,0,6,5,0,8,14,0,5,6,0,3,8,0
UMKC,11,15,8,4,2,9,10,12,0,6,3,0,4,9,0,8,14,0,5,4,0,3,10,0
Loyola (MD),10,13,5,5,5,8,10,12,0,3,6,0,7,6,0,15,7,0,6,3,0,9,4,0
Longwood,16,9,11,2,4,5,10,12,0,5,5,0,5,7,0,14,8,0,5,5,0,9,3,0
Valparaiso,10,15,8,6,2,8,10,12,1,6,7,0,4,5,1,14,9,0,8,5,0,6,4,0
LSU,12,11,10,4,1,5,10,12,1,7,8,0,3,4,1,11,12,0,9,6,0,2,6,0
UMBC,11,14,6,7,5,7,10,12,0,3,7,0,7,5,0,15,6,1,6,3,1,9,3,0
Hofstra,12,13,5,6,4,6,10,12,1,3,7,0,7,5,1,9,13,1,5,5,0,4,8,1
E TA&M,3,21,3,7,0,14,10,12,2,3,6,1,7,6,1,12,12,0,5,5,0,7,7,0
USC,13,10,10,5,3,3,10,13,0,6,9,0,4,4,0,17,6,0,10,5,0,7,1,0
Austin Peay,10,15,6,4,3,10,10,13,0,4,5,0,6,8,0,10,13,0,4,5,0,6,8,0
Bradley,19,6,10,3,6,2,10,13,1,5,7,1,5,6,0,15,9,0,7,6,0,8,3,0
Coastal Car,8,17,5,5,2,12,10,13,0,3,6,0,7,7,0,11,12,0,4,5,0,7,7,0
UConn,16,7,10,2,5,2,10,13,0,6,8,0,4,5,0,12,11,0,6,8,0,6,3,0
Cal Poly,9,15,6,4,3,11,10,13,0,4,5,0,6,8,0,14,9,0,4,5,0,10,4,0
Charlotte,9,15,7,6,1,8,10,13,0,6,8,0,4,5,0,12,11,0,7,7,0,5,4,0
NC A&T,4,20,3,8,1,12,10,13,0,2,8,0,8,5,0,14,9,0,4,6,0,10,3,0
VA Tech,11,13,7,6,4,3,10,13,1,5,10,1,5,3,0,11,13,0,9,7,0,2,6,0
North Florida,13,12,7,5,6,7,10,13,1,3,7,1,7,6,0,19,5,0,9,2,0,10,3,0
USC Upstate,5,21,4,7,1,13,10,13,0,3,5,0,7,8,0,15,8,0,5,3,0,10,5,0
Stetson,7,18,4,7,3,8,10,13,0,3,9,0,7,4,0,12,11,0,7,5,0,5,6,0
Milwaukee,16,9,9,2,6,7,10,13,0,5,5,0,5,8,0,11,12,0,7,3,0,4,9,0
Utah State,21,3,11,2,7,1,10,13,0,6,7,0,4,6,0,10,12,1,7,6,0,3,6,1
Bryant U,15,10,6,3,8,6,10,13,0,3,5,0,7,8,0,12,9,2,2,5,1,10,4,1
William & Mary,14,11,10,0,3,10,10,13,0,5,4,0,5,9,0,13,10,0,4,5,0,9,5,0
Portland,8,17,6,7,2,7,10,13,0,4,9,0,6,4,0,13,10,0,8,5,0,5,5,0
Marquette,18,6,11,2,6,4,10,13,1,6,7,1,4,6,0,10,14,0,8,6,0,2,8,0
La Salle,12,12,9,3,2,6,10,13,0,7,5,0,3,8,0,12,11,0,6,6,0,6,5,0
Duquesne,10,14,7,6,1,5,10,13,0,7,8,0,3,5,0,9,14,0,6,9,0,3,5,0
Oregon,16,8,8,4,4,4,10,14,0,3,9,0,7,5,0,14,10,0,7,5,0,7,5,0
Evansville,9,16,6,8,3,8,10,14,0,6,7,0,4,7,0,9,15,0,6,7,0,3,8,0
New Orleans,4,20,0,7,3,12,10,14,0,2,6,0,8,8,0,13,11,0,5,3,0,8,8,0
G Tech,11,13,10,5,1,7,10,14,0,7,9,0,3,5,0,10,14,0,6,10,0,4,4,0
UNLV,12,12,9,4,3,6,10,14,0,5,9,0,5,5,0,11,13,0,4,10,0,7,3,0
Northeastern,13,12,5,4,6,7,10,14,1,5,5,0,5,9,1,17,7,1,7,2,1,10,5,0
Rider,9,15,3,6,6,9,10,14,0,3,6,0,7,8,0,10,14,0,4,5,0,6,9,0
Wolves,4,21,3,6,1,13,10,14,0,4,5,0,6,9,0,15,9,0,6,3,0,9,6,0
Louisiana,8,17,4,10,4,4,10,15,0,5,10,0,5,5,0,9,16,0,4,11,0,5,5,0
NC Central,10,14,7,3,2,10,9,10,1,3,3,1,6,7,0,14,6,0,5,2,0,9,4,0
Brown,10,10,5,4,5,6,9,10,0,4,4,0,5,6,0,8,11,0,4,4,0,4,7,0
St. Peter's,7,13,2,5,5,8,9,10,0,1,5,0,8,5,0,10,9,0,2,4,0,8,5,0
E. Carolina,13,11,8,6,3,4,9,11,2,5,7,1,4,4,1,13,9,0,7,6,0,6,3,0
FAU,13,10,6,3,4,5,9,11,2,5,5,1,4,6,1,12,10,0,6,5,0,6,5,0
Texas A&M-CC,15,10,11,2,4,8,9,11,1,5,4,0,4,7,1,13,8,0,3,6,0,10,2,0
N. Illinois,5,18,5,6,0,12,9,11,0,4,4,0,5,7,0,8,12,0,1,7,0,7,5,0
Bowling Green,9,14,7,5,1,8,9,11,1,6,5,1,3,6,0,11,10,0,4,8,0,7,2,0
Seattle,10,13,8,4,2,8,9,12,0,4,7,0,5,5,0,9,12,0,3,8,0,6,4,0
Lehigh,9,14,7,4,2,10,9,12,0,4,5,0,5,7,0,8,13,0,4,5,0,4,8,0
Ball State,11,12,5,5,4,6,9,12,0,2,8,0,7,4,0,12,9,0,5,5,0,7,4,0
Buffalo,7,16,5,6,2,10,9,12,0,3,6,0,6,6,0,11,10,0,3,6,0,8,4,0
Marist,16,5,9,2,7,3,9,12,0,4,7,0,5,5,0,10,11,0,4,7,0,6,4,0
Stonehill,12,13,8,3,3,9,9,12,2,4,5,1,5,7,1,11,11,1,5,5,0,6,6,1
E. Illinois,8,17,5,5,2,12,9,13,0,2,5,0,7,8,0,10,12,0,3,4,0,7,8,0
Baylor,15,8,11,1,2,6,9,13,0,8,4,0,1,9,0,13,9,0,8,4,0,5,5,0
Tulsa,9,15,7,7,1,6,9,13,0,4,8,0,5,5,0,9,13,0,5,7,0,4,6,0
E. Michigan,11,12,6,4,4,8,9,13,0,5,5,0,4,8,0,14,8,0,8,2,0,6,6,0
W. Michigan,7,16,4,7,3,9,9,13,0,2,8,0,7,5,0,10,11,1,4,6,0,6,5,1
Iowa,13,10,11,4,0,5,9,13,1,8,8,1,1,5,0,13,10,0,9,8,0,4,2,0
Rhode Island,15,8,11,2,1,6,9,13,0,7,7,0,2,6,0,14,8,0,9,5,0,5,3,0
Saint Joe's,14,9,9,4,2,4,9,13,1,6,9,1,3,4,0,12,11,0,8,8,0,4,3,0
Quinnipiac,14,10,9,2,5,8,9,13,1,5,4,1,4,9,0,12,11,0,6,4,0,6,7,0
Fairfield,9,15,6,5,2,9,9,13,1,6,5,0,3,8,1,11,11,1,3,7,1,8,4,0
Niagara,9,14,5,4,2,10,9,13,0,5,5,0,4,8,0,11,11,0,6,4,0,5,7,0
Murray State,12,13,5,5,5,6,9,14,1,3,8,0,6,6,1,14,10,0,4,7,0,10,3,0
OK State,12,11,9,2,2,6,9,14,0,5,8,0,4,6,0,12,11,0,7,6,0,5,5,0
GA Southern,13,12,8,2,4,9,9,14,1,4,6,0,5,8,1,12,12,0,6,4,0,6,8,0
Cincinnati,14,9,9,4,4,5,9,14,0,5,9,0,4,5,0,5,18,0,4,10,0,1,8,0
LBSU,7,18,3,8,4,7,9,14,0,3,7,0,6,7,0,15,8,0,6,4,0,9,4,0
Green Bay,2,23,1,9,1,14,9,14,1,2,7,0,7,7,1,10,12,2,3,6,0,7,6,2
JMU,15,10,11,2,2,7,9,14,0,6,5,0,3,9,0,8,15,0,3,8,0,5,7,0
Seton Hall,6,18,4,8,0,8,9,14,0,5,8,0,4,6,0,11,12,0,5,8,0,6,4,0
Montana St,10,15,8,2,2,13,9,15,0,5,4,0,4,11,0,11,13,0,3,6,0,8,7,0
High Point,21,5,13,1,5,3,9,15,0,6,8,0,3,7,0,14,10,0,6,8,0,8,2,0
Gonzaga,18,7,11,1,5,2,9,16,0,5,10,0,4,6,0,15,10,0,10,5,0,5,5,0
Columbia,12,8,9,4,3,4,8,10,0,6,5,0,2,5,0,9,8,1,5,6,0,4,2,1
W. Carolina,6,17,5,6,1,11,8,11,0,2,6,0,6,5,0,11,7,1,4,3,1,7,4,0
Harvard,7,13,3,4,4,9,8,11,0,3,3,0,5,8,0,8,11,0,4,2,0,4,9,0
Wichita State,13,10,8,4,3,5,8,12,2,4,7,2,4,5,0,8,14,0,3,10,0,5,4,0
Sac State,6,18,5,7,1,11,8,12,1,2,7,0,6,5,1,8,13,0,4,5,0,4,8,0
UCSB,16,8,10,4,6,4,8,12,2,5,7,0,3,5,2,10,12,0,7,5,0,3,7,0
N. Mexico St,12,11,7,4,5,5,8,12,0,2,7,0,6,5,0,7,13,0,3,6,0,4,7,0
Grambling St,7,16,4,4,3,10,8,12,0,1,5,0,7,7,0,8,11,1,3,3,0,5,8,1
Coppin St,4,18,3,4,1,14,8,12,1,3,3,0,5,9,1,10,11,0,2,4,0,8,7,0
San Diego State,15,6,8,3,4,2,8,12,0,3,9,0,5,3,0,9,11,0,5,7,0,4,4,0
UMass Lowell,15,9,12,2,3,7,8,12,1,3,7,1,5,5,0,10,11,0,6,5,0,4,6,0
Penn,6,14,4,7,2,6,8,12,0,4,8,0,4,4,0,11,7,2,9,3,0,2,4,2
Ab Christian,11,13,6,4,4,9,8,13,0,2,5,0,6,8,0,11,10,0,1,6,0,10,4,0
AR-Pine Bluff,4,19,4,4,0,15,8,13,0,3,3,0,5,10,0,13,8,0,3,3,0,10,5,0
MS Valley St,3,20,2,4,1,16,8,13,0,3,1,0,5,12,0,10,11,0,0,4,0,10,7,0
Lindenwood,11,14,9,3,1,10,8,13,1,6,3,1,2,10,0,12,10,0,6,4,0,6,6,0
Loyola (IL),14,9,12,1,2,4,8,14,0,4,10,0,4,4,0,10,12,0,6,8,0,4,4,0
CS Bakersfield,10,15,7,4,2,10,8,14,1,6,4,0,2,10,1,15,8,0,7,3,0,8,5,0
NC State,9,14,9,5,0,7,8,14,1,6,9,0,2,5,1,8,15,0,4,11,0,4,4,0
Arkansas,14,9,9,4,3,3,8,14,1,6,8,1,2,6,0,9,14,0,5,10,0,4,4,0
Ohio,12,11,9,2,2,7,8,14,0,6,4,0,2,10,0,14,7,1,6,3,1,8,4,0
Saint Louis,14,10,11,2,3,6,8,14,0,5,6,0,3,8,0,4,18,0,2,9,0,2,9,0
Colorado,9,14,8,6,0,6,8,15,0,7,8,0,1,7,0,9,12,2,7,6,2,2,6,0
TCU,12,11,11,2,1,6,8,15,0,6,8,0,2,7,0,6,16,1,3,10,1,3,6,0
UL Monroe,6,19,4,8,2,10,8,15,0,3,8,0,5,7,0,9,14,0,5,6,0,4,8,0
Boston Col,10,13,7,6,0,6,8,15,0,6,10,0,2,5,0,14,9,0,9,7,0,5,2,0
Albany,12,13,5,6,5,6,8,15,0,3,8,0,5,7,0,11,12,0,4,7,0,7,5,0
New Hampshire,6,19,5,6,1,11,8,15,0,5,5,0,3,10,0,11,12,0,5,5,0,6,7,0
Canisius,2,21,1,9,1,11,8,15,0,4,6,0,4,9,0,13,10,0,5,5,0,8,5,0
Cal Baptist,12,11,8,5,3,5,8,15,0,4,10,0,4,5,0,12,11,0,8,6,0,4,5,0
S. Florida,12,12,9,3,1,7,8,16,0,5,9,0,3,7,0,10,14,0,7,7,0,3,7,0
Air Force,3,21,2,11,0,10,8,16,0,4,10,0,4,6,0,15,8,1,8,5,1,7,3,0
Oral Roberts,6,17,6,6,0,11,7,12,0,4,4,0,3,8,0,11,8,0,4,4,0,7,4,0
Citadel,5,18,5,9,0,9,7,13,0,3,8,0,4,5,0,10,10,0,6,5,0,4,5,0
SFA,11,13,7,6,4,7,7,13,1,2,8,0,5,5,1,8,13,0,4,6,0,4,7,0
Texas Southern,10,13,7,3,3,10,7,13,0,3,4,0,4,9,0,8,11,1,1,5,1,7,6,0
Wagner,12,12,7,5,5,7,7,13,0,2,6,0,5,7,0,8,12,0,5,3,0,3,9,0
CS Fullerton,6,19,4,8,2,11,7,14,2,3,5,2,4,9,0,10,12,1,6,4,0,4,8,1
Grand Canyon,17,6,13,1,2,3,7,15,0,4,10,0,3,5,0,10,12,0,7,7,0,3,5,0
Alabama St,9,14,5,2,2,10,7,15,0,2,5,0,5,10,0,11,11,0,5,2,0,6,9,0
Minnesota,12,12,10,6,2,4,7,15,2,4,11,1,3,4,1,12,12,0,10,6,0,2,6,0
E. Washington,9,16,7,4,2,11,7,16,0,3,6,0,4,10,0,11,12,0,5,4,0,6,8,0
Miami (FL),5,18,5,8,0,6,7,16,0,4,9,0,3,7,0,14,9,0,8,5,0,6,4,0
Richmond,8,16,5,6,1,9,7,16,0,4,7,0,3,9,0,11,12,0,6,5,0,5,7,0
Bellarmine,3,22,3,8,0,14,7,16,0,1,8,0,6,8,0,13,10,0,5,4,0,8,6,0
Dolphins,7,18,4,5,2,13,7,16,0,3,5,0,4,11,0,16,7,0,6,2,0,10,5,0
UNC,14,10,9,2,3,5,7,17,0,5,10,0,2,7,0,11,13,0,7,8,0,4,5,0
MD-E Shore,4,18,4,3,0,15,6,11,1,1,2,0,5,9,1,6,12,0,0,3,0,6,9,0
Howard,9,14,7,5,1,7,6,12,0,2,6,0,4,6,0,13,5,0,7,1,0,6,4,0
Alabama A&M,7,16,7,7,0,9,6,14,0,6,5,0,0,9,0,14,6,0,9,2,0,5,4,0
Princeton,16,6,7,3,6,1,6,14,0,3,8,0,3,6,0,7,13,0,4,7,0,3,6,0
Weber State,9,16,4,8,3,8,6,15,1,2,7,0,4,8,1,13,9,0,5,4,0,8,5,0
Vermont,13,11,8,2,4,8,6,15,1,2,6,1,4,9,0,9,13,0,7,2,0,2,11,0
N Kentucky,11,14,9,6,2,8,6,19,0,5,10,0,1,9,0,9,15,1,4,10,1,5,5,0
W. Illinois,8,17,5,7,3,9,5,16,1,1,8,1,4,8,0,14,8,0,5,5,0,9,3,0
Sam Houston,8,16,5,3,2,12,5,16,0,1,5,0,4,11,0,13,8,0,5,1,0,8,7,0
Panthers,0,5,0,0,0,2,2,1,0,1,0,0,1,1,0,0,3,0,0,1,0,0,2,0
Tigers,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Thorobreds,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Toccoa Falls Eagles,0,3,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Franklin College,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Alice Lloyd Eagles,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
U of the Cumberlands,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Champion Christian,0,5,0,0,0,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Marauders,0,2,0,0,0,2,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0
Flying Fleet,0,2,0,0,0,2,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0
Life Pacific College,0,6,0,0,0,4,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0
Montreat,0,2,0,0,0,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0
Kentucky Christian,0,3,0,0,0,3,1,2,0,0,0,0,1,2,0,3,0,0,0,0,0,3,0,0
Savannah St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hartford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Bears,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trojans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falcons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vikings,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulldogs,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flames,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argonauts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulldogs,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buccaneers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statesmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choctaws,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruins,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulldogs,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patriots,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deacons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fighting Scots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Jackets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panthers,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulldogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trojans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battlers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senators,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pioneers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gators,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coyotes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seawolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warriors,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wildcats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So Wesleyan,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crusaders,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crusaders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tornado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falcons,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trojans,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobcats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulldogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pumas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prairie Stars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bearcats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tritons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miners,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flyers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rangers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulldogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greyhounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tusculum,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulldogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Railsplitters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolves,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tornados,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trojans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lopers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lions,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bearcats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
